taglank,plats,plandatumtid,train_type
202404103930,Östansjö,2024-04-11 01:00:00,GT
202404103930,Vretstorp,2024-04-11 01:06:00,GT
202404103930,Linddalen,2024-04-11 01:09:00,GT
202404103930,Laxå,2024-04-11 01:15:00,GT
202404103930,Finnerödja,2024-04-11 01:23:00,GT
202404103930,Gårdsjö,2024-04-11 01:29:00,GT
202404103930,Älgarås,2024-04-11 01:34:00,GT
202404103930,Slätte,2024-04-11 01:38:00,GT
202404103930,Töreboda,2024-04-11 01:43:00,GT
202404103930,Moholm,2024-04-11 01:49:00,GT
202404103930,Väring,2024-04-11 01:57:00,GT
202404103930,Skövde c,2024-04-11 02:06:00,GT
202404103930,Regumatorp,2024-04-11 02:12:00,GT
202404103930,Stenstorp,2024-04-11 02:16:00,GT
202404103930,Falköpings norra,2024-04-11 02:24:00,GT
202404103930,Falköpings c,2024-04-11 02:25:00,GT
202404103930,Floby,2024-04-11 02:34:00,GT
202404103930,Källeryd,2024-04-11 02:39:00,GT
202404103930,Herrljunga central,2024-04-11 02:47:00,GT
202404103930,Herrljunga västra,2024-04-11 02:49:00,GT
202404103930,Vårgårda,2024-04-11 02:55:00,GT
202404103930,Algutsgården,2024-04-11 03:02:00,GT
202404103930,Alingsås,2024-04-11 03:08:00,GT
202404103930,Bryngenäs,2024-04-11 03:12:00,GT
202404103930,Västra Bodarna,2024-04-11 03:13:00,GT
202404103930,Norsesund,2024-04-11 03:15:00,GT
202404103930,Norsesund västra,2024-04-11 03:15:00,GT
202404103930,Floda,2024-04-11 03:20:00,GT
202404103930,Stenkullen,2024-04-11 03:22:00,GT
202404103930,Lerum,2024-04-11 03:25:00,GT
202404103930,Aspedalen,2024-04-11 03:25:00,GT
202404103930,Aspen,2024-04-11 03:26:00,GT
202404103930,Jonsered östra,2024-04-11 03:28:00,GT
202404103930,Jonsered Västra,2024-04-11 03:29:00,GT
202404103930,Partille,2024-04-11 03:32:00,GT
202404103930,Sävedalen,2024-04-11 03:34:00,GT
202404103930,Göteborg Sävenäs,2024-04-11 03:37:00,GT
202404103930,Olskroken,2024-04-11 03:39:00,GT
202404103930,Göteborg Kville,2024-04-11 03:45:00,GT
202404103930,Göteborg Lindholmen,2024-04-11 03:49:00,GT
202404103930,Pölsebo,2024-04-11 03:52:00,GT
202404103930,Göteborg Skandiahamnen,2024-04-11 03:59:00,GT
202404103934,Göteborg Skandiahamnen,2024-04-10 09:42:00,GT
202404103934,Pölsebo,2024-04-10 09:51:00,GT
202404103934,Göteborg Lindholmen,2024-04-10 09:53:00,GT
202404103934,Göteborg Kville,2024-04-10 09:59:00,GT
202404103934,Göteborg Sävenäs,2024-04-10 10:04:00,GT
202404103934,Sävedalen,2024-04-10 10:07:00,GT
202404103934,Partille,2024-04-10 10:10:00,GT
202404103934,Jonsered Västra,2024-04-10 10:12:00,GT
202404103934,Jonsered östra,2024-04-10 10:13:00,GT
202404103934,Aspen,2024-04-10 10:15:00,GT
202404103934,Aspedalen,2024-04-10 10:16:00,GT
202404103934,Lerum,2024-04-10 10:17:00,GT
202404103934,Stenkullen,2024-04-10 10:19:00,GT
202404103934,Floda,2024-04-10 10:22:00,GT
202404103934,Norsesund västra,2024-04-10 10:26:00,GT
202404103934,Norsesund,2024-04-10 10:26:00,GT
202404103934,Västra Bodarna,2024-04-10 10:28:00,GT
202404103934,Bryngenäs,2024-04-10 10:29:00,GT
202404103934,Alingsås,2024-04-10 10:32:00,GT
202404103934,Algutsgården,2024-04-10 10:39:00,GT
202404103934,Vårgårda,2024-04-10 10:45:00,GT
202404103934,Herrljunga västra,2024-04-10 11:03:00,GT
202404103934,Herrljunga central,2024-04-10 11:06:00,GT
202404103934,Källeryd,2024-04-10 11:13:00,GT
202404103934,Floby,2024-04-10 11:19:00,GT
202404103934,Falköpings c,2024-04-10 11:27:00,GT
202404103934,Falköpings norra,2024-04-10 11:29:00,GT
202404103934,Stenstorp,2024-04-10 11:37:00,GT
202404103934,Regumatorp,2024-04-10 11:41:00,GT
202404103934,Skövde c,2024-04-10 11:47:00,GT
202404103934,Väring,2024-04-10 11:55:00,GT
202404103934,Moholm,2024-04-10 12:03:00,GT
202404103934,Töreboda,2024-04-10 12:11:00,GT
202404103934,Töreboda,2024-04-10 12:22:00,GT
202404103934,Slätte,2024-04-10 12:30:00,GT
202404103934,Älgarås,2024-04-10 12:34:00,GT
202404103934,Gårdsjö,2024-04-10 12:41:00,GT
202404103934,Gårdsjö,2024-04-10 12:57:00,GT
